lookupProject,newVariable,newValue,source
peru_tambopata,lidar.qc.details,"A Landsat 7 ETM+ scene for path 002, row 069 acquired on 28 July 2009 was downloaded from the U.S. Geological Survey (USGS) Earth Explorer website (http://edcsns17.cr.usgs.gov/EarthExplorer/). This image was acquired in SLC-off mode, because of the
failure in 2003 of the Scan Line Corrector (SLC), which compensates for the forward
motion of the Landsat 7 satellite. The result is that, outside of the central 26 km of the
scene, there are narrow strips of missing data. This image was processed by the USGS to
what is termed Standard Terrain Correction (Level 1T), using ground control points (from
the GLS2005 data set) and elevation data (typically SRTM (shuttle radar topography
mission)). Radiometric calibration is part of the Level 1 Product Generation System
(LPGS) applied to Landsat 7 ETM+ data, using detector gain parameters that are updated
on a 90-day cycle. The post-calibration dynamic range for each band is scaled over an 8-bit
range. No atmospheric correction is applied in this process and the no-data areas are not
in-filled.","Hill, R. A., Boyd, D. S., & Hopkinson, C. (2011). Relationship between canopy height and Landsat ETM+ response in lowland Amazonian rainforest. Remote Sensing Letters, 2(3), 203-212. http://dx.doi.org/10.1080/01431161.2010.510815"
peru_tambopata,citation,"Hill, R. A., Boyd, D. S., & Hopkinson, C. (2011). Relationship between canopy height and Landsat ETM+ response in lowland Amazonian rainforest. Remote Sensing Letters, 2(3), 203-212. http://dx.doi.org/10.1080/01431161.2010.510810; Boyd, D. S., Hill, R. A., Hopkinson, C., & Baker, T. R. (2013). Landscape?\scale forest disturbance regimes in southern Peruvian Amazonia. Ecological applications, 23(7), 1588-1602. https://doi.org/10.1890/12-0371.1",Ross Hill
spain_valsaincircle,email.contact,rubenvalpue@gmail.com,Ruben Valbuena
spain_valsaincircle,institution,Bangor University,Ruben Valbuena
spain_valsaincircle,citation,"Valbuena R., Packalen P., Garc??a-Abril A., Meht?talo L. & Maltamo M. (2013) Characterizing Forest Structural Types and Shelterwood Dynamics from Lorenz-based Indicators Predicted by Airborne Laser Scanning. Canadian Journal of Forest Research 43: 1063-1074.; Valbuena, R., Maltamo, M., Mart??n Fern??ndez, S., Packalen P., Pascual C., & Nabuurs, G.J. (2013) Patterns of Covariance between Airborne Laser Scanning Metrics and Lorenz Curve Descriptors of Tree Size Inequality. Canadian Journal of Remote Sensing 39 (S1): S18-S31.; Valbuena, R., De Blas, A., Mart??n Fern??ndez, S., Maltamo, M., Nabuurs, G.J., & Manzanera, J.A. (2013) Within-Species Benefits of Back-projecting Laser Scanner and Multispectral Sensors in Monospecific P. sylvestris Forests. European Journal of Remote Sensing 46: 401-416.; Manzanera J.A., Garc",Ruben Valbuena
spain_valsainrect,citation,"Valbuena R., Mauro F., Rodriguez-Solano R. and Manzanera J.A. (2012) Partial Least Squares for Discriminating Variance Components in GNSS Accuracy Obtained Under Scots Pine Canopies. Forest Science. 58(2): 139-153; Mauro F., Valbuena R., Manzanera J.A. and Garca-Abril A. (2011) Influence of Global Navigation Satellite System Errors in Positioning Inventory Plots for Tree-Height Distribution Studies. Canadian journal of Forest Research 41(1): 11-23.; Valbuena R., Mauro F., Rodrguez-Solano R. and Manzanera J.A. (2010) Accuracy and Precision of GPS Receivers under Forest Canopies in a Mountainous Environment. Spanish Journal of Agricultural Research 8(4): 1047-1057.; Valbuena R., Mauro F., Arjonilla F.J. and Manzanera J.A. (2011) Comparing Airborne Laser Scanning-Imagery Fusion Methods Based on Geometric Accuracy in Forested Areas. Remote Sensing of Environment 115(8): 1942-1956.",Ruben Valbuena
spain_valsainrect,email.contact,rubenvalpue@gmail.com,Ruben Valbuena
spain_valsainrect,institution,Bangor University,Ruben Valbuena
usa_cflra,institution,Colorado State University,Patrick Fekety
usa_clearcreek,institution,Colorado State University,Patrick Fekety
usa_colville,institution,Colorado State University,Patrick Fekety
usa_damon,institution,Colorado State University,Patrick Fekety
usa_dcef,institution,Colorado State University,Patrick Fekety
usa_fernan,institution,Colorado State University,Patrick Fekety
usa_fitsum,institution,Colorado State University,Patrick Fekety
usa_moscowmtn,institution,Colorado State University,Patrick Fekety
usa_nezperce,institution,Colorado State University,Patrick Fekety
usa_pref,institution,Colorado State University,Patrick Fekety
usa_pref_fia,institution,Colorado State University,Patrick Fekety
usa_slatecreek,institution,Colorado State University,Patrick Fekety
usa_stanley,institution,Colorado State University,Patrick Fekety
usa_stjoe,institution,Colorado State University,Patrick Fekety
usa_tepeecreek,institution,Colorado State University,Patrick Fekety
usa_upperlolo,institution,Colorado State University,Patrick Fekety
usa_cflra,citation,"Lidar data acquisition and processing completed by the National Center for Airborne Laser Mapping (NCALM - http://www.ncalm.org). NCALM funding provided by NSF's Division of Earth Sciences, Instrumentation and Facilities Program. EAR-1043051.
https://doi.org/10.5069/G9H41PB3",Patrick Fekety
