from,to
Are.you.also.able.to.share.full.waveform.LiDAR.data..If.so..please.contact.xyz.abc.to.arrange.data.transfer.,lidar.waveform
Timestamp,submit.timestamp
Do.you.want.to.download.the.template.,remove
Email.address.for.point.of.contact,email.contact
Field.Data.Use.Restrictions,field.restrictions
Local.name.of.study.area..e.g...Lambir..Mudumalai.,study.area
Please.provide.a.brief.description.of.the.stem.diameter.measurement.protocol..e.g....all.measurements.are.at.breast.height.above.ground.or.buttress..,d.stem.protocol
Please.describe.in.brief.data.quality.control.or.validation.activities.,lidar.qc.details
Are.you.also.able.to.share.full.waveform.LiDAR.data.,lidar.waveform
Email.Address,email.submit
Institutional.Affiliation,institution
Are.you.willing.to.share.your.field.data.with.ESAa..s.Forest.Observation.System..FOS..who.will.publicly.distribute.plot.level.aggregated.biomass.estimates..Individual.tree.data.will.not.be.shared.publicly..but.will.be.provided.to.FOS.for.their.biomass.estimates..as.available..More.information.on.FOS.is.available.here.http...forest.observation.system.net..,field.fos.sharing
Please.provide.an.email.address.for.FOS.to.contact.you.to.arrange.a.data.sharing.agreement.,field.contact.fos
Are.you.willing.to.share.the.extent.of.your.lidar.acquisitions.with.ESAa..s.Forest.Observation.System..FOS..as.well.as.meta.data.related.to.your.lidar.so.that.other.researchers.interested.in.collaborating.with.lidar.data.can.contact.you.,lidar.fos.sharing
Please.provide.an.email.address.for.researchers.to.contact.you.regarding.collaboration.,lidar.fos.contact
notes,notes
Please.provide.the.name.of.a.primary.point.of.contact..This.is.the.person.the.GEDI.Science.Team.will.communicate.with.about.the.data...António.Ferraz.,name.contact
Email.address.for.point.of.contact...Antonio.A.Ferraz.jpl.nasa.gov.,email.contact
Field.Data.Use.Restrictions..Access.to.data.is.restricted.to.GEDI.project.team.,field.restrictions
Vegetation.type..Select.all.that.apply...EXCEL.for.either.tropical.evergreen.or.swamp.,veg.type
In.what.country.was.the.data.collected...Indonesia..Kalimantan.Island.,country
Local.name.of.study.area..EXCEL..site.column.,study.area
When.were.the.field.data.collected..If.range..provide.completion.date..EXCEL..year_field.columns.,field.date
Please.provide.a.brief.description.of.the.stem.diameter.measurement.protocol...all.measurements.are.at.breast.height.above.ground.or.buttress..,d.stem.protocol
What.is.the.size.threshold.that.defines.whether.trees.are.included.in.the.sample..EXCEL..dbh.min..column.,mindiam
In.what.coordinate.system.are.the.data.georeferenced..If.UTM..specify.zone..Please.provide.the.epsg.code.if.known..For.a.list.of.epsg.codes..see.http...spatialreference.org.ref.epsg...EXCEL..column.EPSG.,field.coord.sys
What.plot.layout.was.used...EXCEL.for.size..size_ha.column..and.shape..shape..column.....for.additional.information.check.the.shapefiles.I.sent.you.,p.layout
Was.tree.height.measured.or.modeled...EXCEL..column..TH.measured..,h.t.meas
How.was.aboveground.biomass.estimated...Chave.et.2014....the.equation.that.applies.DBH.and.WD.only..even.for.the.plots.in.which.TH.was.available.,biomass.method
What.scaling.equation.was.used.to.estimate.biomass...EXCEL...scaling.factor..column.means.that.a.scaling.factor.was.used.to.compute.plot.level.AGB.from.sampling.of.a..few..trees.,biomass.equation
Were.tree.species.identified...EXCEL...Species.identified..column.,tree.id
To.what.taxonomic.level.were.trees.identified...Species.when.available..refer.to.EXCEL.,tree.id.level
Was.live.dead.status.reported...EXCEL...cead.live.reported..column.,tree.status
Were.wood.density.measurements.made...No.actual.WD.measurements.have.been.done..However..for.some.plots.the.AGB.have.been.calculated.using.species.specific.WD......please.refer.to.the.EXCEL.column..wd._species_based..to.check.the.sites.over.which.the.species.specific.WD.has.been.applied.....for.the.remaining.ones.the.WD.have.been.assigned.to.the.average.WD.of.the.area.,tree.wood.dens
What.type.of.information.are.you.providing...plot.level.,data.level
Were.individual.trees.mapped...Excel..tree.position.column.,tree.map
Are.you.sharing.airborne.LiDAR.data.with.us...Yes.,lidar.share
