uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,nestedSubplotID,pointID,stemDistance,stemAzimuth,recordType,individualID,supportingStemIndividualID,previouslyTaggedAs,samplingProtocolVersion,taxonID,scientificName,taxonRank,identificationReferences,morphospeciesID,morphospeciesIDRemarks,identificationQualifier,remarks,measuredBy,recordedBy,dataQF
"9727435e-e8b1-41f6-bd79-793d987a2d3f","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","39",,"39",14.7,10.3,,"NEON.PLA.D16.ABBY.00446",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,,"krian@neoninc.org","kzias@field-ops.org",
"f0708b58-b4b7-44e5-9adb-2768702b4265","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","39",,,,,,"NEON.PLA.D16.ABBY.00442",,,"NEON.DOC.000987vE","THPL","Thuja plicata Donn ex D. Don","species",,,,,"no transcription errors found","krian@neoninc.org","kzias@field-ops.org",
"1679f9f9-f2a5-4796-a7bd-4ca2e9943ba9","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","39",,"39",16.8,89.0,,"NEON.PLA.D16.ABBY.00435",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,,"krian@neoninc.org","kzias@field-ops.org",
"36f3eca2-2fb7-4bb4-b238-6eb6e240c403","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","39",,,,,,"NEON.PLA.D16.ABBY.00472",,,"NEON.DOC.000987vE","THPL","Thuja plicata Donn ex D. Don","species",,,,,,"krian@neoninc.org","kzias@field-ops.org",
"fb90bfb3-cd1e-4f10-81f4-20e6a294cebc","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","21",,"21",14.0,73.4,,"NEON.PLA.D16.ABBY.00412",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,,"krian@neoninc.org","kzias@field-ops.org",
"6b2a7573-1590-430b-968e-1bfa712c4a3e","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","39",,"39",12.2,42.8,,"NEON.PLA.D16.ABBY.00430",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,"transcription error corrected (stemDist)","krian@neoninc.org","kzias@field-ops.org",
"44875be0-05c3-44ed-984b-48ac7d5c3c6f","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","39",,"57",3.0,111.0,,"NEON.PLA.D16.ABBY.00441",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,,"krian@neoninc.org","kzias@field-ops.org",
"3d6e8d9c-373f-4271-8972-d3a5bfc0b2a7","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","21",,"21",15.8,80.7,,"NEON.PLA.D16.ABBY.00402",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,,"krian@neoninc.org","kzias@field-ops.org",
"b3e0013f-6c56-4537-b872-f91991fa61c2","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","21",,,,,,"NEON.PLA.D16.ABBY.00410",,"00423","NEON.DOC.000987vE","ACCI","Acer circinatum Pursh","species",,,,,"Was previously tagged as 00423","krian@neoninc.org","kzias@field-ops.org",
"afb39609-5eab-4f0f-bb77-a390d1e5bda8","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","39",,,,,,"NEON.PLA.D16.ABBY.00443",,,"NEON.DOC.000987vE","FRPU7","Frangula purshiana (DC.) A. Gray","species",,,,,,"krian@neoninc.org","kzias@field-ops.org",
"b3019d58-12bc-4265-91a0-eaa01093b38c","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","21",,"21",11.4,87.0,,"NEON.PLA.D16.ABBY.00401",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,,"krian@neoninc.org","kzias@field-ops.org",
"797d79f5-d46e-4386-95fa-35ea961add97","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","39",,"57",9.7,111.9,,"NEON.PLA.D16.ABBY.00452",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,,"krian@neoninc.org","kzias@field-ops.org",
"21b6dc2e-03cc-462b-ab82-3cf5d5f8c020","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","21",,"21",17.7,78.5,,"NEON.PLA.D16.ABBY.00405",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,,"krian@neoninc.org","kzias@field-ops.org",
"82440cc5-0a54-42e4-869b-aa2d93d5d007","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","39",,,,,,"NEON.PLA.D16.ABBY.00470",,,"NEON.DOC.000987vE","VAPA","Vaccinium parvifolium Sm.","species",,,,,"Merged tag 471 with 470 as second bole per revG 2017","krian@neoninc.org","kzias@field-ops.org",
"732281d5-b6ca-405e-80c8-3e9463444c22","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","39","1",,,,,"NEON.PLA.D16.ABBY.00456",,,"NEON.DOC.000987vE","THPL","Thuja plicata Donn ex D. Don","species",,,,,,"krian@neoninc.org","kzias@field-ops.org",
"1012adae-fcbd-4114-bb5c-f82194374194","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","39",,"39",21.6,65.9,,"NEON.PLA.D16.ABBY.00436",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,,"krian@neoninc.org","kzias@field-ops.org",
"dc70df09-3044-4587-81e5-a74d6d579c8e","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","39",,"39",19.0,19.4,,"NEON.PLA.D16.ABBY.00451",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,,"krian@neoninc.org","kzias@field-ops.org",
"835b36c3-2716-4bef-bf91-9ab69763c133","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","21",,"21",20.3,57.5,,"NEON.PLA.D16.ABBY.00419",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,"no transcription errors found","krian@neoninc.org","kzias@field-ops.org",
"236ec60a-6e88-435a-b3a7-d9b9ce771a76","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","21",,"21",19.0,85.8,,"NEON.PLA.D16.ABBY.00407",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,,"krian@neoninc.org","kzias@field-ops.org",
"5ef7d2b0-bfac-474c-a456-1a9da13c9458","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","21",,"21",23.8,50.0,,"NEON.PLA.D16.ABBY.00421",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,,"krian@neoninc.org","kzias@field-ops.org",
"e18ac03b-70b0-4c2a-957f-f43fd2dd2aa1","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","39",,"39",16.9,75.2,,"NEON.PLA.D16.ABBY.00429",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,,"krian@neoninc.org","kzias@field-ops.org",
"08857dd9-5866-43ca-b0ce-a7b4ef7c87b7","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","21",,"21",18.0,57.6,,"NEON.PLA.D16.ABBY.00415",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,,"krian@neoninc.org","kzias@field-ops.org",
"4cf54db8-aee0-4487-a171-fc63a348f9d1","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","39",,"57",11.0,100.3,,"NEON.PLA.D16.ABBY.00454",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,,"krian@neoninc.org","kzias@field-ops.org",
"c3795f6f-c71b-4f1f-8cfd-82f85e420872","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","21",,"21",16.0,79.5,,"NEON.PLA.D16.ABBY.00403",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,,"krian@neoninc.org","kzias@field-ops.org",
"580f2e9b-b894-4dc5-921d-b36cb86b43a7","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","21",,"21",17.5,78.0,,"NEON.PLA.D16.ABBY.00404",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,,"krian@neoninc.org","kzias@field-ops.org",
"4de193c7-14fd-4aa1-88f7-93f198e654bc","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","39",,"41",20.9,344.0,,"NEON.PLA.D16.ABBY.00427",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,"2017 remap from pt. 59 13.9m @ 91.1 degrees","krian@neoninc.org","kzias@field-ops.org",
"ca15a6e1-d659-4ae7-9028-eee60a73aeb3","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","39",,,,,,"NEON.PLA.D16.ABBY.00469",,,"NEON.DOC.000987vE","FRPU7","Frangula purshiana (DC.) A. Gray","species",,,,,,"krian@neoninc.org","kzias@field-ops.org",
"ffd6522f-c6ea-48e5-be0b-dbd62dad8906","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","21",,"21",19.0,71.0,,"NEON.PLA.D16.ABBY.00417",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,,"krian@neoninc.org","kzias@field-ops.org",
"5244dca4-49dd-4426-a7b7-629edc14ebe9","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","39",,,,,,"NEON.PLA.D16.ABBY.00457",,,"NEON.DOC.000987vE","SAMBU","Sambucus sp.","genus",,,,,"Formally identified to Sambucus racemosa; species unknown","krian@neoninc.org","kzias@field-ops.org",
"8fd058b0-c571-48aa-8f90-678d3ceb9906","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","21",,"21",18.6,64.0,,"NEON.PLA.D16.ABBY.00416",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,,"krian@neoninc.org","kzias@field-ops.org",
"02058bbd-3077-447d-a15e-8b878b300a99","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","39",,"39",26.4,42.7,,"NEON.PLA.D16.ABBY.00426",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,"cf. species","standing dead less than 130cm tall; does not qualify and tag was removed during 2016 bout. tagStatus removed, plantStatus no longer qualifies.","krian@neoninc.org","kzias@field-ops.org",
"4def0994-bf0b-4a66-a655-40a1ded1909f","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","39",,"39",22.7,57.8,,"NEON.PLA.D16.ABBY.00437",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,,"krian@neoninc.org","kzias@field-ops.org",
"344542f2-dfd8-414d-ab9e-af089a18dc3f","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","39",,"39",26.2,45.4,,"NEON.PLA.D16.ABBY.00431",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,,"krian@neoninc.org","kzias@field-ops.org",
"fe7807e1-9fdc-4056-9b1f-b89bbe6a0082","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","21",,,,,,"NEON.PLA.D16.ABBY.00425",,,"NEON.DOC.000987vE","THPL","Thuja plicata Donn ex D. Don","species",,,,,"On subplot line; retained in dataset.","krian@neoninc.org","kzias@field-ops.org",
"7cd9ba71-348c-4cce-8211-43c41c416bdb","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","21",,"21",23.0,59.1,,"NEON.PLA.D16.ABBY.00420",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,,"krian@neoninc.org","kzias@field-ops.org",
"f6c19ff6-903f-4e76-91eb-fa4105ff06b9","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","39",,"39",11.4,26.7,,"NEON.PLA.D16.ABBY.00444",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,,"krian@neoninc.org","kzias@field-ops.org",
"933f1df1-6ea2-4e83-8a8c-2a7d35e34e45","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","39",,"49",6.5,333.8,,"NEON.PLA.D16.ABBY.00449",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,"no transcription errors found","krian@neoninc.org","kzias@field-ops.org",
"63ce2ee2-4413-4942-bb38-0a1f46230467","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","21",,"21",16.0,61.2,,"NEON.PLA.D16.ABBY.00414",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,,"krian@neoninc.org","kzias@field-ops.org",
"5b0a5561-14fc-475d-ae09-f28eb7623a66","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","21",,"21",15.2,68.7,,"NEON.PLA.D16.ABBY.00413",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,"no transcription errors found","krian@neoninc.org","kzias@field-ops.org",
"a5fe6485-da17-4834-91a8-d18a0c947a27","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","39",,,,,,"NEON.PLA.D16.ABBY.00433",,,"NEON.DOC.000987vE","THPL","Thuja plicata Donn ex D. Don","species",,,,,,"krian@neoninc.org","kzias@field-ops.org",
"e7d6431b-643a-4110-9691-73e59e2f8fd3","ABBY_063.basePlot.vst","2015-07-23","vst_ABBY_2015","D16","ABBY","ABBY_063","39",,"39",15.5,20.5,,"NEON.PLA.D16.ABBY.00447",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,,"krian@neoninc.org","kzias@field-ops.org",
"44365ec2-8f55-49e5-b027-e8493cd5e162","ABBY_068.basePlot.vst","2015-07-25","vst_ABBY_2015","D16","ABBY","ABBY_068","39","3",,,,,"NEON.PLA.D16.ABBY.00501",,,"NEON.DOC.000987vE","PREM","Prunus emarginata (Douglas ex Hook.) D. Dietr.","species",,,,,"no transcription errors found","krian@neoninc.org","emccarthy@field-ops.org",
"0ce9dc70-ac5e-4453-a458-96551def85ab","ABBY_068.basePlot.vst","2015-07-25","vst_ABBY_2015","D16","ABBY","ABBY_068","39","1",,,,,"NEON.PLA.D16.ABBY.00538",,,"NEON.DOC.000987vE","SPDOD","Spiraea douglasii Hook. var. douglasii","variety",,,,,,"krian@neoninc.org","emccarthy@field-ops.org",
"3521da41-4488-4078-ab95-75b721137ad3","ABBY_068.basePlot.vst","2015-07-25","vst_ABBY_2015","D16","ABBY","ABBY_068","39",,"41",19.0,341.0,,"NEON.PLA.D16.ABBY.00479",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,"corrected using 2016 mapping and tagging data","krian@neoninc.org","emccarthy@field-ops.org",
"889bd312-6228-4a13-a82e-596e54ec7b69","ABBY_068.basePlot.vst","2015-07-25","vst_ABBY_2015","D16","ABBY","ABBY_068","21","1",,,,,"NEON.PLA.D16.ABBY.00512",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,,"shiebert@neoninc.org","lwade@field-ops.org",
"2eed5e85-64a6-4034-a8f2-0ecb117411d9","ABBY_068.basePlot.vst","2015-07-25","vst_ABBY_2015","D16","ABBY","ABBY_068","21","4",,,,,"NEON.PLA.D16.ABBY.00507",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,,"shiebert@neoninc.org","lwade@field-ops.org",
"ba9fdefa-bb57-49df-89eb-6186e13deb98","ABBY_068.basePlot.vst","2015-07-25","vst_ABBY_2015","D16","ABBY","ABBY_068","39",,"41",16.0,346.0,,"NEON.PLA.D16.ABBY.00480",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,"corrected using 2016 mapping and tagging data","krian@neoninc.org","emccarthy@field-ops.org",
"e15f8470-8f2e-420c-9882-70e8fae2e9e6","ABBY_068.basePlot.vst","2015-07-25","vst_ABBY_2015","D16","ABBY","ABBY_068","21","1","21",3.1,9.8,,"NEON.PLA.D16.ABBY.00528",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,,"shiebert@neoninc.org","lwade@field-ops.org",
"f3bc6fdf-3101-4f95-b233-646247ce177e","ABBY_068.basePlot.vst","2015-07-25","vst_ABBY_2015","D16","ABBY","ABBY_068","21","4",,,,,"NEON.PLA.D16.ABBY.00505",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,,"shiebert@neoninc.org","lwade@field-ops.org",
"7e93741b-55c6-43b4-ac51-921b919fe429","ABBY_068.basePlot.vst","2015-07-25","vst_ABBY_2015","D16","ABBY","ABBY_068","21","4",,,,,"NEON.PLA.D16.ABBY.00496",,,"NEON.DOC.000987vE","ACCI","Acer circinatum Pursh","species",,,,,,"shiebert@neoninc.org","lwade@field-ops.org",
"62cb34eb-fcd5-4023-b882-c106f32ca78a","ABBY_068.basePlot.vst","2015-07-25","vst_ABBY_2015","D16","ABBY","ABBY_068","39","3",,,,,"NEON.PLA.D16.ABBY.00458",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,"no transcription errors found","krian@neoninc.org","emccarthy@field-ops.org",
"54beb0a1-b2cb-4605-828c-42d85b955846","ABBY_068.basePlot.vst","2015-07-25","vst_ABBY_2015","D16","ABBY","ABBY_068","21","1",,,,,"NEON.PLA.D16.ABBY.00511",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,,"shiebert@neoninc.org","lwade@field-ops.org",
"b2ba3d60-b7a0-4433-b3a0-ef490a627ff9","ABBY_068.basePlot.vst","2015-07-25","vst_ABBY_2015","D16","ABBY","ABBY_068","39","1",,,,,"NEON.PLA.D16.ABBY.00466",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,,"krian@neoninc.org","emccarthy@field-ops.org",
"e85bf310-567e-4960-bce4-431ecd5f4aec","ABBY_068.basePlot.vst","2015-07-25","vst_ABBY_2015","D16","ABBY","ABBY_068","39","1",,,,,"NEON.PLA.D16.ABBY.00476",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,,"krian@neoninc.org","emccarthy@field-ops.org",
"86ad3774-9f66-489b-a4ac-865aae39feee","ABBY_068.basePlot.vst","2015-07-25","vst_ABBY_2015","D16","ABBY","ABBY_068","39","3",,,,,"NEON.PLA.D16.ABBY.00461",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,,"krian@neoninc.org","emccarthy@field-ops.org",
"61e305d1-9292-4554-b948-71bbd64c22ac","ABBY_068.basePlot.vst","2015-07-25","vst_ABBY_2015","D16","ABBY","ABBY_068","21","1",,,,,"NEON.PLA.D16.ABBY.00508",,,"NEON.DOC.000987vE","RUSP","Rubus spectabilis Pursh","species",,,,,,"shiebert@neoninc.org","lwade@field-ops.org",
"bb5bae3b-f73b-4bf9-a7cb-b9676f1a78cf","ABBY_068.basePlot.vst","2015-07-25","vst_ABBY_2015","D16","ABBY","ABBY_068","21","4",,,,,"NEON.PLA.D16.ABBY.00492",,,"NEON.DOC.000987vE","HODI","Holodiscus discolor (Pursh) Maxim.","species",,,,,,"shiebert@neoninc.org","lwade@field-ops.org",
"31252028-7534-48ab-a5da-95ea9c4b8bcb","ABBY_068.basePlot.vst","2015-07-25","vst_ABBY_2015","D16","ABBY","ABBY_068","39","1",,,,,"NEON.PLA.D16.ABBY.00475",,,"NEON.DOC.000987vE","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",,,,,,"krian@neoninc.org","emccarthy@field-ops.org",
