COMMON_NAME,GENUS,SPECIESp,TreeSpecies
Kauai hau kuahiwi,Hibiscadelphus,distans,HIDI
Kilauea hau kuahiwi,Hibiscadelphus,giffardianus,HIGI
Hualalai hau kuahiwi,Hibiscadelphus,hualalaiensis,HIHU
hau kuahiwi,Hibiscadelphus,puakuahiwi,HIPU2
hibiscadelphus,Hibiscadelphus,spp.,HIBIS
Maui hau kuahiwi,Hibiscadelphus,wilderianus,HIWI
Woods hau kuahiwi,Hibiscadelphus,woodii,HIWO
white rosemallow,Hibiscus,arnottianus,HIAR
Brackenridges rosemallow,Hibiscus,brackenridgei,HIBR
lemonyellow rosemallow,Hibiscus,calyphyllus,HICA6
red Kauai rosemallow,Hibiscus,clayi,HICL
mahoe,Hibiscus,elatus,HIEL
red rosemallow,Hibiscus,kokio,HIKO
largeleaf rosemallow,Hibiscus,macrophyllus,HIMA5
Dixie rosemallow,Hibiscus,mutabilis,HIMU3
seaside mahoe,Hibiscus,pernambucensis,HIPE3
shoeblackplant,Hibiscus,rosa-sinensis,HIRO3
rosemallow,Hibiscus,spp.,HIBIS2
sea hibiscus,Hibiscus,tiliaceus,HITI
white Kauai rosemallow,Hibiscus,waimeae,HIWA
teta de burra cinarron,Hirtella,rugosa,HIRU2
pigeonberry,Hirtella,triandra,HITR3
white cogwood,Homalium,racemosum,HORA
Homalium whitmeeanum,Homalium,whitmeeanum,HOWH
"chemeklachel, eumail",Horsfieldia,amklaal,HOAM2
ersachel,Horsfieldia,novoguineensis,HONO2
Horsfieldia nunu,Horsfieldia,nunu,HONU2
chersachel,Horsfieldia,palauensis,HOPA10
Horsfieldia,Horsfieldia,spp.,HORSF2
sandbox tree,Hura,crepitans,HUCR
cedro macho,Hyeronima,clusioides,HYCL
nightblooming cactus,Hylocereus,spp.,HYLOC
nightblooming cactus,Hylocereus,undatus,HYUN3
stinkingtoe,Hymenaea,courbaril,HYCO
inkwood,Hypelate,trifoliata,HYTR
limestone snakevine,Hyperbaena,laurifolia,HYLA8
Canary Island St. Johnswort,Hypericum,canariense,HYCA11
Hawaii holly,Ilex,anomala,ILAN
English holly,Ilex,aquifolium,ILAQ80
dahoon,Ilex,cassine,ILCA
te,Ilex,cookii,ILCO3
Skottsbergs false ohelo,Wikstroemia,skottsbergiana,WISK
false ohelo,Wikstroemia,spp.,WIKST
hairy false ohelo,Wikstroemia,villosa,WIVI
tallow wood,Ximenia,americana,XIAM
lalanyog,Xylocarpus,granatum,XYGR
leilei,Xylocarpus,moluccensis,XYMO2
Xylocarpus,Xylocarpus,spp.,XYLOC2
mucha-gente,Xylosma,buxifolia,XYBU
sawtooth logwood,Xylosma,crenata,XYCR
Hawaii brushholly,Xylosma,hawaiiensis,XYHA
Xylosma nelsonii,Xylosma,nelsonii,XYNE2
spiny logwood,Xylosma,pachyphylla,XYPA2
Xylosma samoensis,Xylosma,samoensis,XYSA
white logwood,Xylosma,schaefferioides,XYSC2
Schwaneck's logwood,Xylosma,schwaneckeana,XYSC3
xylosma,Xylosma,spp.,XYLOS
aloe yucca,Yucca,aloifolia,YUAL
moundlily yucca,Yucca,gloriosa,YUGL2
bluestem yucca,Yucca,guatemalensis,YUGU
Maricao pricklyash,Zanthoxylum,bifoliolatum,ZABI
prickly yellow,Zanthoxylum,caribaeum,ZACA3
kawau,Zanthoxylum,dipetalum,ZADI
West Indian satinwood,Zanthoxylum,flavum,ZAFL
Hawaii pricklyash,Zanthoxylum,hawaiiense,ZAHA
Kauai pricklyash,Zanthoxylum,kauaense,ZAKA
white pricklyash,Zanthoxylum,martinicense,ZAMA
yellow prickle,Zanthoxylum,monophyllum,ZAMO
Oahu pricklyash,Zanthoxylum,oahuense,ZAOA
dotted pricklyash,Zanthoxylum,punctatum,ZAPU2
niaragato,Zanthoxylum,spinifex,ZASP
pricklyash,Zanthoxylum,spp.,ZANTH
St. Thomas pricklyash,Zanthoxylum,thomasianum,ZATH
Zapoteca portoricensis,Zapoteca,portoricensis,ZAPO2
Indian jujube,Ziziphus,mauritiana,ZIMA
cacao rojo,Ziziphus,reticulata,ZIRE
soana,Ziziphus,rignonii,ZIRI
Taylor's jujube,Ziziphus,taylorii,ZITA
manchineel,Hippomane,mancinella,HIMA2
false tamarind,Lysiloma,latisiliquum,LYLA3
mango,Mangifera,indica,MAIN3
Florida poisontree,Metopium,toxiferum,METO3
fishpoison tree,Piscidia,piscipula,PIPI3
"octopus tree, schefflera",Schefflera,actinophylla,SCAC2
false mastic,Sideroxylon,foetidissimum,SIFO
"white bully, willow bustic",Sideroxylon,salicifolium,SISA6
paradisetree,Simarouba,glauca,SIGL3
Java plum,Syzygium,cumini,SYCU
tamarind,Tamarindus,indica,TAIN2
black locust,Robinia,pseudoacacia,ROPS
New Mexico locust,Robinia,neomexicana,RONE
"Everglades palm, paurotis-palm",Acoelorraphe,wrightii,ACWR4
Florida silver palm,Coccothrinax,argentata,COAR
coconut palm,Cocos,nucifera,CONU
royal palm spp.,Roystonea,spp.,ROYST
Mexican palmetto,Sabal,mexicana,SAME8
cabbage palmetto,Sabal,palmetto,SAPA
key thatch palm,Thrinax,morrisii,THMO4
Florida thatch palm,Thrinax,radiata,THRA2
other palms,Family Arecaceae,not listed above,ARECA
western soapberry,Sapindus,saponaria,SASAD
willow spp.,Salix,spp.,SALIX
peachleaf willow,Salix,amygdaloides,SAAM2
black willow,Salix,nigra,SANI
Bebb willow,Salix,bebbiana,SABE2
Bonpland willow,Salix,bonplandiana,SABO
coastal plain willow,Salix,caroliniana,SACA5
balsam willow,Salix,pyrifolia,SAPY
white willow,Salix,alba,SAAL2
Scouler's willow,Salix,scouleriana,SASC
weeping willow,Salix,sepulcralis,SASE10
sassafras,Sassafras,albidum,SAAL5
mountain-ash spp.,Sorbus,spp.,SORBU
American mountain-ash,Sorbus,americana,SOAM3
European mountain-ash,Sorbus,aucuparia,SOAU
northern mountain-ash,Sorbus,decora,SODE3
West Indian mahogany,Swietenia,mahagoni,SWMA2
basswood spp.,Tilia,spp.,TILIA
American basswood,Tilia,americana,TIAM
white basswood,Tilia,americana,TIAMH
Carolina basswood,Tilia,americana,TIAMC
elm spp.,Ulmus,spp.,ULMUS
winged elm,Ulmus,alata,ULAL
American elm,Ulmus,americana,ULAM
cedar elm,Ulmus,crassifolia,ULCR
Siberian elm,Ulmus,pumila,ULPU
fir spp.,Abies,spp.,ABIES
oak spp.,Quercus,spp.,QUERC
pond-apple,Annona,glabra,ANGL4
gumbo limbo,Bursera,simaruba,BUSI
coconut palm,Cocos,nucifera,CONU
tropical almond,Terminalia,catappa,TECA
southern catalpa,Catalpa,bignonioides,CABI8
weeping fig,Ficus,benjamina,FIBE
pink trumpet-tree,Tabebuia,rosea,TARO
black wattle,Acacia,mangium,ACMA12
common snakebark,Colubrina,arborescens,COAR3
fan palm,Pritchardia,pacifica,PRPA11
Waioli Valley pritchardia,Pritchardia,perlmanii,PRPE7
Nihoa pritchardia,Pritchardia,remota,PRRE
lands of papa pritchardia,Pritchardia,schattaueri,PRSC
pritchardia,Pritchardia,spp.,PRITC
stickybud pritchardia,Pritchardia,viscosa,PRVI2
poleline pritchardia,Pritchardia,waialealeana,PRWA
fua lole,Procris,pedunculata,PRPE6
mesquite,Prosopis,juliflora,PRJU
cherry plum,Prunus,cerasifera,PRCE2
strawberry guava,Psidium,cattleianum,PSCA
Yoshino flowering cherry,Prunus,x yedoensis,PRYE
Koolau Range wild coffee,Psychotria,fauriei,PSFA
largeflower wild coffee,Psychotria,grandiflora,PSGR
Kauai wild coffee,Psychotria,greenwelliae,PSGR3
Waianae Range wild coffee,Psychotria,hathewayi,PSHA2
kopikoula,Psychotria,hawaiiensis,PSHA3
woodland wild coffee,Psychotria,hexandra,PSHE2
Oahu wild coffee,Psychotria,hexandra,PSHEO
milolii kopiwai,Psychotria,hobdyi,PSHO
matalafi,Psychotria,insularum,PSIN10
kopiko kea,Psychotria,kaduana,PSKA
aplohkateng,Psychotria,mariana,PSYMAR
forest wild coffee,Psychotria,mariniana,PSMA6
opiko,Psychotria,mauiensis,PSMA7
Maytenus palauica,Maytenus,palauica,MAPA28
kesiamel,Osmoxylon,truncatum,OSTR
Dysoxylum,Dysoxylum,spp.,DYSOX
oil nut palm,Elaeis,guineensis,ELGU
kalia,Elaeocarpus,bifidus,ELBI
syatak,Elaeocarpus,carolinensis,ELCA20
`a`mati`e,Elaeocarpus,floridanus,ELFL6
Elaeocarpus graeffei,Elaeocarpus,graeffei,ELGR
sapatua,Elaeocarpus,grandis,ELGR6
joga,Elaeocarpus,joga,ELJO
Elaeocarpus kerstingianus,Elaeocarpus,kerstingianus,ELKE
"maratte, opop",Elaeocarpus,kusanoi,ELKU
Elaeocarpus,Elaeocarpus,spp.,ELAEO
aamatie,Elaeocarpus,tonganus,ELTO4
Elaeocarpus,Elaeocarpus,ulianus,ELUL
taputoi,Elattostachys,falcata,ELFA3
red elderberry,Sambucus,racemosa,SARA2
utuutu,Eleocharis,dulcis,ELDU3
elaeocarpa,Endiandra,elaeocarpa,ENEL
loquat,Eriobotrya,spp.,ERIOB
wili wili,Erythrina,sandwicensis,ERSA11
erythrina,Erythrina,spp.,ERYTH
gatae palagi,Erythrina,subumbrans,ERSU15
acuminatissimum,Erythrospermum,acuminatissimum,ERAC10
Argentine senna,Senna,corymbosa,SECO9
southern mahogany,Eucalyptus,botryoides,EUBO2
applebox,Eucalyptus,bridgesiana,EUBR2
argyle apple,Eucalyptus,cinerea,EUCI80
Carolina poplar,Populus,x canadensis,POCA19
gray poplar,Populus,x canescens,POCA14
Hawaii pritchardia,Pritchardia,affinis,PRAF
Maui pritchardia,Pritchardia,arecina,PRAR2
Kilauea pritchardia,Pritchardia,beccariana,PRBE
Mt. Eke pritchardia,Pritchardia,forbesiana,PRFO
Makaleha pritchardia,Pritchardia,hardyi,PRHA2
loulu lelo,Pritchardia,hillebrandii,PRHI
Waianae Range pritchardia,Pritchardia,kaalae,PRKA
Lanai pritchardia,Pritchardia,lanaiensis,PRLA3
loulu,Pritchardia,lanigera,PRLA4
Limahuli Valley pritchardia,Pritchardia,limahuliensis,PRLI2
Molokai pritchardia,Pritchardia,lowreyana,PRLO2
Koolau Range pritchardia,Pritchardia,martii,PRMA5
Alakai Swamp pritchardia,Pritchardia,minor,PRMI3
Kamalo pritchardia,Pritchardia,munroi,PRMU3
sugargum,Eucalyptus,cladocalyx,EUCL
yate,Eucalyptus,cornuta,EUCO3
narrowleaf red ironbark,Eucalyptus,crebra,EUCR
roundleaf gum,Eucalyptus,deanei,EUDE
tuart,Eucalyptus,gomphocephala,EUGO
mountain graygum,Eucalyptus,goniocalyx,EUGO2
white box,Eucalyptus,hemiphloia,EUHE12
jarrah,Eucalyptus,marginata,EUMA4
Australian tallowwood,Eucalyptus,microcorys,EUMI
blackbutt,Eucalyptus,pilularis,EUPI
black ironbox,Eucalyptus,raveretiana,EURA4
Western Australian floodedgum,Eucalyptus,rudis,EURU2
black peppermint,Eucalyptus,salicifolia,EUSA17
red ironbark,Eucalyptus,sideroxylon,EUSI2
forest redgum,Eucalyptus,tereticornis,EUTE
manna gum,Eucalyptus,viminalis,EUVI
"edebsachel, chedebsachel",Eugenia,aquea,EUAQ
Psychotria rhombocarpa,Psychotria,rhombocarpa,PSRH2
Psychotria rotensis,Psychotria,rotensis,PSRO2
wild coffee,Psychotria,spp.,PSYCH
leatherleaf wild coffee,Psychotria,wawrae,PSWA2
alahee,Psydrax,odorata,PSOD
common hoptree,Ptelea,trifoliata,PTTR
Kauai pteralyxia,Pteralyxia,kauaiensis,PTKA
ridged pteralyxia,Pteralyxia,macrocarpa,PTMA
pteralyxia,Pteralyxia,spp.,PTERA
Chinese wingnut,Pterocarya,stenoptera,PTST80
Ptychococcus ledermannianus,Ptychococcus,ledermannianus,PTLE3
Macarthur feather palm,Ptychosperma,macarthuri,PTMA8
chesdbuuch,Ptychosperma,palauense,PTPA
Ptychosperma,Ptychosperma,spp.,PTYCH4
pear,Pyrus,Spp.,PYRUS
cork oak,Quercus,suber,QUSU5
Chinese pear,Pyrus,pyrifolia,PYPY2
sawtooth oak,Quercus,acutissima,QUAC80
bastard white oak,Quercus,austrina,QUAU
togo vao,Rapanea,myricifolia,RAMY
poison devils-pepper,Rauvolfia,vomitoria,RAVO
omechidel,Rauvolfia,insularis,RAIN8
devils-pepper,Rauvolfia,sandwicensis,RASA3
devils-pepper,Rauvolfia,spp.,RAUVO
European turkey oak,Quercus,cerris,QUCE
vi vao,Reynoldsia,lanutoensis,RELA
sand live oak,Quercus,geminata,QUGE2
ohe makai,Reynoldsia,sandwicensis,RESA
reynoldsia,Reynoldsia,spp.,REYNO
Darlington oak,Quercus,hemisphaerica,QUHE2
holly oak,Quercus,ilex,QUIL2
pungent oak,Quercus,pungens,QUPU
lateleaf oak,Quercus,tardifolia,QUTA
Rheeda,Rheedia,edulis,RHED4
Toumey oak,Quercus,toumeyi,QUTO2
mangle,Rhizophora,apiculata,RHAP2
Sonoran scrub oak,Quercus,turbinella,QUTU2
Rhizophora lamarckii,Rhizophora,lamarckii,RHLA12
sandpaper oak,Quercus,vaseyana,QUVA5
mangle hembra,Rhizophora,mucronata,RHMU
mangrove,Rhizophora,spp.,RHIZO
Rhizophora stylosa,Rhizophora,stylosa,RHST8
rose myrtle,Rhodomyrtus,spp.,RHODO2
Rhodomyrtus tomentosus,Rhodomyrtus,tomentosa,RHTO10
neneleau,Rhus,sandwicensis,RHSA2
sumac,Rhus,spp.,RHUS
tavai,Rhus,taitensis,RHTA
Catawba rosebay,Rhododendron,catawbiense,RHCA8
cloves,Eugenia,caryophyllus,EUCA16
"macupa, wax apple",Eugenia,javanica,EUJA4
nioi,Eugenia,koolauensis,EUKO
"makupa, malay apple",Eugenia,malaccensis,EUMA5
bigleaf snowbell,Styrax,grandifolius,STGR4
Eugenia nitida,Eugenia,nitida,EUNI2
orenged,Eugenia,palauensis,EUPA3
agatelang,Eugenia,palumbis,EUPA28
mountain stopper,Eugenia,reinwardtiana,EURE7
Japanese tree lilac,Syringa,reticulata,SYRE2
stopper,Eugenia,spp.,EUGEN
luluhut,Eugenia,stelechantha,EUST24
rebotel,Eugenia,suzukii,EUSU9
atoto,Eugenia,thompsonii,EUTH4
Kauai spurge,Euphorbia,haeleeleana,EUHA2
poinsettia,Euphorbia,pulcherrima,EUPU9
spurge,Euphorbia,spp.,EUPHO
Longan,Euphoria,longana,EULO7
anini,Eurya,sandwicensis,EUSA6
eurya,Eurya,spp.,EURYA
Euodia hortensis,Euodia,hortensis,EUHO5
kertub,Euodia,nitida,EUNI8
beror,Euodia,palawensis,EUPA29
Euodia ponapensis,Euodia,ponapensis,EUPO15
Euodia,Euodia,spp.,EUODI
Euodia trichantha,Euodia,trichantha,EUTR13
blinding tree,Excoecaria,agallocha,EXAG
hulumoa,Exocarpos,gaudichaudii,EXGA
exocarpos,Exocarpos,spp.,EXOCA
kotop,Exorrhiza,ponapensis,EXPO2
ricinus,Ricinus,spp.,RICIN
Rinorea carolinensis,Rinorea,carolinensis,RICA16
winged sumac,Rhus,copallinum,RHCO
smooth sumac,Rhus,glabra,RHGL
Rollinia,Rollinia,deliciosa,RODE5
bristly locust,Robinia,hispida,ROHI
bastard oak,Quercus,sinuata,QUSIB
royal palm,Roystonea,oleracea,ROOL
robust oak,Quercus,robusta,QURO3
dwarf palmetto,Sabal,minor,SAMI8
pussy willow,Salix,discolor,SADI
"etkeam, cheskeam",Samadera,indica,SAIN13
raintree,Samanea,spp.,SAMAN
Goodding's willow,Salix,gooddingii,SAGO
raintree,Sambucus,spp.,SAMBU
"santol, kechapi",Sandoricum,koetjape,SAKO4
coastal sandalwood,Santalum,ellipticum,SAEL2
forest sandalwood,Santalum,freycinetianum,SAFR4
yellow willow,Salix,lutea,SALU2
Haleakala sandalwood,Santalum,haleakalae,SAHA3
mountain sandalwood,Santalum,paniculatum,SAPA7
diamondleaf willow,Salix,planifolia,SAPL2
silky willow,Salix,sericea,SASE
willowleaf sandalwood,Santalum,salicifolium,SASA8
sandalwood,Santalum,spp.,SANTA
European black elderberry,Sambucus,nigra,SANIN2
lonomea,Sapindus,oahuense,SAOA3
soapberry,Sapindus,spp.,SAPIN
vitiensis,Sapindus,vitiensis,SAVI17
maskerekur,Sapium,indicum,SAIN2
uunu,Sarcopygme,pacifica,SAPA35
"Scaevola, naupaka",Scaevola,cerasifolia,SCCE3
naupaka kuahiwi,Scaevola,chamissoniana,SCCH3
mountain naupaka,Scaevola,gaudichaudiana,SCGA2
forest naupaka,Scaevola,procera,SCPR
naupaka,Scaevola,spp.,SCAEV
schaefferia,Schaefferia,spp.,SCHAE
pualulu,Fagraea,berteroana,FABE
ksid,Fagraea,ksid,FAKS
Fagraea,Fagraea,spp.,FAGRA
peacocksplume,Falcataria,moluccana,FAMO
peacocksplume,Falcataria,spp.,FALCA2
mati,Ficus,godeffroyi,FIGO
aoa,Ficus,obliqua,FIOB3
aoa,Ficus,prolixa,FIPR2
Port Jackson fig,Ficus,rubiginosa,FIRU4
"lulk, banyan",Ficus,saffordii,FISA
mati vao,Ficus,scabra,FISC3
fig,Ficus,spp.,FICUS
Chinese banyan,Ficus,thonningii,FITH2
mati,Ficus,tinctoria,FITI2
mati,Ficus,uniauriculata,FIUN
higo,Ficus,virens,FIVI3
Finschia chloroxantha,Finschia,chloroxantha,FICH
Chinese parasoltree,Firmiana,simplex,FISI2
burrdaisytree,Fitchia,speciosa,FISP3
filimoto,Flacourtia,rukam,FLRU2
Queensland maple,Flindersia,brayleyana,FLBR
poumuli,Flueggea,flexuosa,FLFL4
mehamehame,Flueggea,neowawraea,FLNE
bushweed,Flueggea,spp.,FLUEG
Chinese chastetree,Vitex,negundo,VINE2
California buckthorn,Frangula,californica,FRCA12
Franklin tree,Franklinia,alatamaha,FRAL
Bolivian fuchsia,Fuchsia,boliviana,FUBO
shrubby fuchsia,Fuchsia,paniculata,FUPA2
fuchsia,Fuchsia,spp.,FUCHS
samoensis,Schefflera,samoensis,SCSA10
Toitoi,Scaevola,taccada,SCTA
Peruvian peppertree,Schinus,molle,SCMO
kuat,Scyphiphora,hydrophyllacea,SCHY5
poumuli,Securinega,flexuosa,SEFL9
tonget,Semecarpus,venenosa,SEVE4
Gaudichauds senna,Senna,gaudichaudii,SEGA2
valamuerto,Senna,pendula,SEPE4
senna,Senna,septemtrionalis,SESE13
senna,Senna,spp.,SENNA
ukall,Serianthes,kanehirae,SEKA2
"hayun lago, trongkon guafi",Serianthes,nelsonii,SENE9
Egyptian riverhemp,Sesbania,sesban,SESE8
riverhemp,Sesbania,spp.,SESBA
Shirakiopsis indica,Shirakiopsis,indica,SHIN
yellow llima,Sida,fallax,SIFA
fanpetals,Sida,spp.,SIDA
saffron plum,Sideroxylon,celastrinum,SICE2
buckthorn bully,Sideroxylon,lycioides,SILY
tough bully,Sideroxylon,tenax,SITE2
Tamaulipan Coma,Sideroxylon,laetevirens,SILA4
American black nightshade,Solanum,americanum,SOAM
earleaf nightshade,Solanum,mauritianum,SOMA3
tilol,Garcinia,matsudai,GAMA8
none,Garcinia,myrtifolia,GAMY
konpuil,Garcinia,ponapensis,GAPO4
tilol,Garcinia,rumiyo,GARU3
Garcinia,Garcinia,spp.,GARCI
forest gardenia,Gardenia,brighamii,GABR
Oahu gardenia,Gardenia,mannii,GAMA6
Remys gardenia,Gardenia,remyi,GARE
gardenia,Gardenia,spp.,GARDE
Tahitian gardenia,Gardenia,taitensis,GATA
manuai vivao,Garuga,floribunda,GAFL8
taipoipo,Geniostoma,rupestre,GERU3
Gironniera celtidifolia,Gironniera,celtidifolia,GICE2
Japanese zelkova,Zelkova,serrata,ZESE80
lotebush,Ziziphus,obtusifolia,ZIOB
masame,Glochidion,cuspidatum,GLCU
Glochidion marianum,Glochidion,marianum,GLMA9
masame,Glochidion,ramiflorum,GLRA4
Glochidion,Glochidion,spp.,GLOCH
belau,Gmelina,elliptica,GMEL
blacheos,Gmelina,palawensis,GMPA
Gmelina,Gmelina,spp.,GMELI
Gnetum gnemon,Gnetum,gnemon,GNGN
flower axistree,Glycosmis,parviflora,GLPA4
Goniothalamus carolinensis,Goniothalamus,carolinensis,GOCA2
kahiliflower,Grevillea,banksii,GRBA
grevillea,Grevillea,spp.,GREVI
fau ui,Grewia,crenata,GRCR4
paipai,Guamia,mariannae,GUMA4
nightshade,Solanum,spp.,SOLAN
mangrove,Sonneratia,alba,SOAL10
mamani,Sophora,chrysophylla,SOCH
necklacepod,Sophora,spp.,SOPHO
silver bush,Sophora,tomentosa,SOTO3
spathodea,Spathodea,spp.,SPATH
Spiraeanthemum samoense,Spiraeanthemum,samoense,SPSA7
Japanese pagoda tree,Styphnolobium,japonicum,STJA9
Spondias,Spondias,spp.,SPOND
ngmui,Stemonurus,ammui,STAM10
titmel,Spondias,pinnata,SPPI4
false spiraea,Sorbaria,spp.,SORBA
Greene's mountain ash,Sorbus,scopulina,SOSC2
western mountain ash,Sorbus,sitchensis,SOSI2
fanaio,Sterculia,fanaiho,STFA5
Sterculia palauensis,Sterculia,palauensis,STPA20
silky camellia,Stewartia,malacodendron,STMA
anthropophagorum,Streblus,anthropophagorum,STAN9
Hawaii roughbush,Streblus,pendulinus,STPE3
streblus,Streblus,spp.,STREB
mountain camellia,Stewartia,ovata,STOV
American snowbell,Styrax,americanus,STAM4
Stewartia,Stewartia,koreana,STKO2
"chebtui, ebtui",Symplocos,racemosa,SYRA6
turpentine tree,Syncarpia,glomulifera,SYGL
turpentine tree,Syncarpia,spp.,SYNCA
Miracle Berry,Synsepalum,dulcificum,SYDU
common lilac,Syringa,vulgaris,SYVU
asi,Syzygium,brevifolium,SYBR3
popona,Syzygium,carolinense,SYCA4
asi vai,Syzygium,clusiifolium,SYCL
asi vai,Syzygium,dealatum,SYDE3
asi,Syzygium,inophylloides,SYIN2
popona,Syzygium,richii,SYRI3
nonu vao,Syzygium,samarangense,SYSA3
fena vao,Syzygium,samoense,SYSA6
ohia ha,Syzygium,sandwicense,SYSA
syzygium,Syzygium,spp.,SYZYG
hedge maple,Acer,campestre,ACCA5
vine maple,Acer,circinatum,ACCI
Amur maple,Acer,ginnala,ACGI
paperbark maple,Acer,griseum,ACGR14
Painted maple,Acer,mono,ACMO10
sycamore maple,Acer,pseudoplatanus,ACPS
tatarian maple,Acer,tataricum,ACTA80
Freeman maple,Acer,x freemanii,ACFR
horse chestnut,Aesculus,hippocastanum,AEHI
bottlebrush buckeye,Aesculus,parviflora,AEPA2
gray alder,Alnus,incana,ALIN2
hazel alder,Alnus,serrulata,ALSE2
green alder,Alnus,viridis,ALVI5
Allegheny serviceberry,Amelanchier,laevis,AMLA
Japanese angelica tree,Aralia,elata,AREL8
devil's walkingstick,Aralia,spinosa,ARSP2
smallflower pawpaw,Asimina,parviflora,ASPA18
silverling,Baccharis,glomeruliflora,BAGL
eastern baccharis,Baccharis,halimifolia,BAHA
European white birch,Betula,pendula,BEPE3
Asian white birch,Betula,platyphylla,BEPL2
downy birch,Betula,pubescens,BEPU5
fountain butterflybush,Buddleja,alternifolia,BUAL
common box,Buxus,sempervirens,BUSE2
camellia,Camellia,japonica,CAJA9
tea,Camellia,sinensis,CASI16
Siberian peashrub,Caragana,arborescens,CAAR18
European hornbeam,Carpinus,betulus,CABE8
Japanese chestnut,Castanea,crenata,CACR27
European chestnut,Castanea,sativa,CASA27
Chinese catalpa,Catalpa,ovata,CAOV5
snowbrush ceanothus,Ceanothus,velutinus,CEVE
Deodar cedar,Cedrus,deodara,CEDE2
common buttonbush,Cephalanthus,occidentalis,CEOC2
katsura tree,Cercidiphyllum,japonicum,CEJA2
California redbud,Cercis,orbiculata,CEOR9
hinoki false cypress,Chamaecyparis,obtusa,CHOB8
desert willow,Chilopsis,linearis,CHLI2
puapua,Guettarda,speciosa,GUSP3
rhoifolia,Guioa,rhoifolia,GURH
Guioa,Guioa,spp.,GUIOA
"bochela uchererak, uch",Gulubia,palauensis,GUPA
vilivili,Gyrocarpus,americanus,GYAM2
mountain silverbell,Halesia,tetraptera,HATE3
Ozark witchhazel,Hamamelis,vernalis,HAVE2
American witchhazel,Hamamelis,virginiana,HAVI4
Haplolobus floribundus,Haplolobus,floribundus,HAFL
fa`aili,Harpullia,arborea,HAAR4
haujillo,Havardia,pallens,HAPA10
denticulata,Hedycarya,denticulata,HEDE14
Hedycarya,Hedycarya,spp.,HEDYC2
Fosbergs starviolet,Hedyotis,fosbergii,HEFO5
manono,Hedyotis,hillebrandii,HEHI8
starviolet,Hedyotis,spp.,HEDYO2
variable starviolet,Hedyotis,terminalis,HETE21
white moho,Heliocarpus,popayanensis,HEPO4
heliocarpus,Heliocarpus,spp.,HELIO
ufa,Heritiera,littoralis,HELI9
ufa halemtano,Heritiera,longipetiolata,HELO12
Heritiera,Heritiera,spp.,HERIT2
pipi,Hernandia,moerenhoutiana,HEMO13
"pua, Chinese lantern tree",Hernandia,nymphaeifolia,HENY
Hernandia ovigera,Hernandia,ovigera,HEOV4
Hernandia,Hernandia,spp.,HERNA
Hernandia labyrinthica,Hernandia,labyrinthica,HELA27
Lanai island-aster,Hesperomannia,arborescens,HEAR9
Maui island-aster,Hesperomannia,arbuscula,HEAR10
Kauai island-aster,Hesperomannia,lydgatei,HELY
island-aster,Hesperomannia,spp.,HESPE8
toyon,Heteromeles,arbutifolia,HEAR5
toyon,Heteromeles,spp.,HETER5
palma brava,Heterospathe,elata,HEEL9
para rubber tree,Hevea,brasiliensis,HEBR8
hau kuahiwi,Hibiscadelphus,bombycinus,HIBO2
lava hau kuahiwi,Hibiscadelphus,crucibracteatus,HICR
Kauai hau kuahiwi,Hibiscadelphus,distans,HIDI
Kilauea hau kuahiwi,Hibiscadelphus,giffardianus,HIGI
Hualalai hau kuahiwi,Hibiscadelphus,hualalaiensis,HIHU
hau kuahiwi,Hibiscadelphus,puakuahiwi,HIPU2
hibiscadelphus,Hibiscadelphus,spp.,HIBIS
Maui hau kuahiwi,Hibiscadelphus,wilderianus,HIWI
Woods hau kuahiwi,Hibiscadelphus,woodii,HIWO
white rosemallow,Hibiscus,arnottianus,HIAR
Brackenridges rosemallow,Hibiscus,brackenridgei,HIBR
lemonyellow rosemallow,Hibiscus,calyphyllus,HICA6
red Kauai rosemallow,Hibiscus,clayi,HICL
red rosemallow,Hibiscus,kokio,HIKO
pink tabebuia,Tabebuia,pallida,TAPA10
trumpet-tree,Tabebuia,spp.,TABEB
Tabernaemontana aurantiaca,Tabernaemontana,aurantiaca,TAAU3
Pulu,Tabernaemontana,pandacaqui,TAPA13
Tabernaemontana rotensis,Tabernaemontana,rotensis,TARO3
five-stamen tamarisk,Tamarix,chinensis,TACH2
saltcedar,Tamarix,ramosissima,TARA
manunu,Tarenna,sambucina,TASA2
English yew,Taxus,baccata,TABA80
Japanese yew,Taxus,cuspidata,TACU
chestnutleaf trumpetbush,Tecoma,castanifolia,TECA9
tectona,Tectona,spp.,TECTO
kehma,Terminalia,carolinensis,TECA16
"esemiich, chesemiich",Terminalia,crassipes,TECR3
"esemiich, chesemiich",Terminalia,edulis,TEED
tropical almond,Terminalia,kaernbachii,TEKA4
malili,Terminalia,richii,TERI3
talie,Terminalia,samoensis,TESA2
Flynnsohe,Tetraplasandra,flynnii,TEFL5
Koolau Rangeohe,Tetraplasandra,gymnocarpa,TEGY
Hawaii ohe,Tetraplasandra,hawaiensis,TEHA2
ohe ohe,Tetraplasandra,kavaiensis,TEKA3
ohe mauka,Tetraplasandra,oahuensis,TEOA
tetraplasandra,Tetraplasandra,spp.,TETRA11
Mt. Waialeale ohe,Tetraplasandra,waialealae,TEWA
ohe kiko ola,Tetraplasandra,waimeae,TEWA3
Florida clover ash,Tetrazygia,bicolor,TEBI
thespesia,Thespesia,spp.,THESP
